Galaxy,Final Model,Sum comp Mass,Mass Bar,Mass Disk,Mass Bulge,Mass Nucleus,Bar-to-total Mass,Disk-to-total Mass,Bulge-to-total Mass,Nucleus-to-total Mass
NGC1452,DBARB,10.384212655718928,9.64829305231394,10.126085694000906,9.806467694000904,,0.1836878354799172,0.5519160684629488,0.2643960960571337,
NGC1483,DBAR,9.599686924533012,8.393454120207414,9.571798690913834,,,0.0621966789393493,0.9378033210606508,,
NGC1493,DBARN,9.670476013015628,8.120493703753748,9.656258886966835,,7.274824886966838,0.0281849773882465,0.9677938855728834,,0.0040211370388702
NGC1533,DBARB,10.541019241216242,9.31044113904334,10.36632164601907,9.97620164601907,,0.0588060349683403,0.6688094560486209,0.2723845089830388,
NGC1559,DBAR,10.394882820108217,8.678886766174013,10.386449509634822,,,0.0192310920249384,0.9807689079750616,,
NGC1637,DBARN,9.991140480011474,8.713170711183572,9.950841050853152,,8.546127050853151,0.0527266563089782,0.911382260059864,,0.035891083631158
NGC1640,DBARBN,10.151044112169776,9.318918395396622,9.999552734495452,9.217896734495453,8.637490734495453,0.1471886368559944,0.705518851027883,0.1166413727818444,0.030651139334278
NGC1672,DBARB,10.712264898232828,9.868840412894214,10.504226004469947,10.087390004469947,,0.1434087051905347,0.619385602772813,0.2372056920366522,
NGC1679,DBAR,9.592318595064397,8.4007300847023,9.56344144191191,,,0.0643296946015432,0.9356703053984567,,
NGC1688,DBARN,9.6967649221092,8.888411672740885,9.619098967521706,,7.615002967521706,0.1554700544380949,0.8362459845657558,,0.0082839609961493
NGC1800,DBAR,8.702647530003585,7.957919775100059,8.61646143946195,,,0.1799998922362186,0.8200001077637814,,
NGC1879,DBARN,9.54636447275768,8.188020702421184,9.526644910595383,,6.303892910595383,0.0438183711565936,0.95560945442369,,0.0005721744197163
NGC2500,DBARN,9.375980576471228,7.631501644276926,9.36762074756528,,6.399162747565282,0.0180103050106045,0.9809348657224164,,0.001054829266979
NGC2608,DBARN,10.210371273816488,8.89609032367862,10.164827747873613,,8.918443747873614,0.0484974662925764,0.9004435138098276,,0.0510590198975958
NGC2633,DBARB,10.493973516887875,9.799122677802002,10.116644660824312,10.072214660824311,,0.2019059702167163,0.4194412547941351,0.3786527749891485,
NGC2893,DBARB,9.897062608593853,9.189745347942855,9.162673588057576,9.689083588057574,,0.1961926527337325,0.184336348126443,0.6194709991398244,
NGC2938,DBAR,9.907507178037504,8.748686426879942,9.876283663363148,,,0.0693712066681639,0.930628793331836,,
NGC3020,DBAR,9.800423271246489,8.769323786869657,9.757987720017018,,,0.0930894609856799,0.90691053901432,,
NGC3023,DBAR,9.95420718875267,9.16294596651256,9.8776011075792,,,0.1617107077088624,0.8382892922911376,,
NGC3049,DBARN,10.09457767927925,9.304549642682636,10.003189433000886,,8.535377433000885,0.1621705402112465,0.8102364068779655,,0.0275930529107879
NGC3057,DBAR,9.54145179994923,8.215339327164076,9.520456246662588,,,0.0471940803075678,0.952805919692432,,
