Name,y$_{3.6\mu m}$_center,x$_{3.6\mu m}$_center,SKY$_{3.6\mu m}$,$\sigma$_SKY$_{3.6\mu m}$,RMS$_{3.6\mu m}$,y$_{4.5\mu m}$_center,x$_{4.5\mu m}$_center,SKY$_{4.5\mu m}$,$\sigma$_SKY$_{4.5\mu m}$,RMS$_{4.5\mu m}$
NGC5147,304.0,616.0,0.0979,0.0121,0.0098,810.0,422.0,0.2562,0.0171,0.0138
NGC5218,867.0,921.0,0.0326,0.0164,0.0133,1131.0,444.0,0.0512,0.0196,0.0161
NGC5236,1546.0,1432.0,0.0943,0.0195,0.0189,1580.0,1345.0,0.1493,0.0164,0.0148
NGC5334,789.0,284.0,0.0556,0.0124,0.01,291.0,506.0,0.0864,0.0118,0.0096
NGC5339,796.0,277.0,0.1229,0.0139,0.0111,280.0,478.0,0.26,0.0139,0.0114
NGC5347,292.0,569.0,0.0636,0.0147,0.0118,782.0,296.0,0.0737,0.0145,0.0117
NGC5350,991.0,764.0,0.0193,0.0126,0.0105,703.0,1136.0,-0.0382,0.0138,0.0139
NGC5355,294.0,585.0,0.0205,0.015,0.012,775.0,299.0,0.0437,0.016,0.013
NGC5375,769.0,292.0,0.0555,0.0217,0.0182,306.0,714.0,-0.0227,0.0136,0.0109
NGC5430,636.0,291.0,-0.0105,0.0155,0.0125,304.0,775.0,-0.0415,0.0138,0.0111
NGC5448,714.0,342.0,0.0118,0.0097,0.0078,295.0,691.0,0.0275,0.0137,0.011
NGC5473,275.0,277.0,-0.0011,0.0155,0.0124,768.0,790.0,-0.0432,0.0139,0.0112
NGC5534,789.0,395.0,0.0587,0.0166,0.0133,792.0,451.0,0.1286,0.0163,0.0131
NGC5569,787.0,336.0,0.053,0.0176,0.0162,788.0,470.0,0.1076,0.0164,0.0132
NGC5597,798.0,272.0,0.3188,0.0167,0.0136,277.0,438.0,0.1062,0.014,0.0121
NGC5600,765.0,287.0,0.047,0.0212,0.0171,777.0,554.0,0.0251,0.015,0.012
NGC5636,782.0,323.0,0.0549,0.0167,0.0136,786.0,487.0,0.0569,0.0158,0.0129
NGC5645,797.0,287.0,0.0703,0.0146,0.0117,289.0,556.0,0.1296,0.0137,0.0111
NGC5661,795.0,289.0,0.0684,0.015,0.0119,291.0,568.0,0.1069,0.0134,0.0108
NGC5669,292.0,385.0,0.0532,0.0096,0.0078,828.0,298.0,0.0558,0.0166,0.0133
NGC5691,826.0,378.0,0.0775,0.0214,0.0171,314.0,567.0,0.1556,0.026,0.0209
NGC5693,690.0,297.0,0.0183,0.0146,0.0117,308.0,781.0,-0.022,0.0131,0.0105
