Galaxy,Model,Total Model Mass,Bar Mass,Disk Mass,Bulge Mass,Nucleus Mass,Bar-to-total,Disk-to-total,Bulge-to-total,Nucleus-to-total
NGC3359,DBAR,10.14067894799882,9.03718571442075,10.105034541106548,,,0.07879647080525011,0.9212035291947499,,
NGC3380,DBARBN,9.749831951625492,9.214884197830038,9.49079297024524,8.775906935212625,8.459746531536872,0.2917778005468188,0.550758259257165,0.10618788812278976,0.05127605207322634
NGC3381,DBAR,9.69225425722838,8.739588481040796,9.640904240015955,,,0.11151524010622553,0.8884847598937744,,
NGC3447,DBAR,9.347882896564352,8.150734704588846,9.319385383316188,,,0.06351141782701747,0.9364885821729826,,
NGC3485,DBARB,9.79344956948946,8.650582749095099,9.74259478064128,8.379299913174508,,0.07196696361699756,0.8894984817734028,0.038534554609599654,
NGC3489,DBARB,9.995990730323676,9.047414004357364,9.765172046765281,9.472670465251063,,0.11257015758058246,0.5877346785069423,0.29969516391247525,
NGC3504,DBARB,10.393448307026162,9.825504632651315,9.9948011613476,9.912251495645293,,0.2704309075500295,0.39934923269550004,0.3302198597544704,
NGC3507,DBARB,10.042414558201111,8.75383916225327,9.982195481403165,8.934626090609912,,0.05145464711179223,0.8705243492919702,0.07802100359623765,
NGC3583,DBARB,10.631967468263596,10.05863657649422,10.41406563770638,9.737222846925835,,0.26709706034698355,0.6054777235875495,0.12742521606546695,
NGC3637,DBARBN,10.478905716288812,9.472242760924974,10.148120293321194,9.787418367370636,9.842812279592998,0.0984775067558729,0.4668900052254968,0.20347574678637567,0.23115674123225466
NGC3654,DBAR,10.00469618355324,9.255685930045182,9.919444527319115,,,0.17823366867400062,0.8217663313259994,,
NGC3664,DBAR,9.426210568446093,8.474877359321514,9.374693009294473,,,0.11185793327004687,0.8881420667299532,,
NGC3673,DBARBN,10.405322374037238,8.86727160346079,10.354729366898171,9.220703139529693,8.599136763548612,0.028970048976825993,0.89003481054569,0.06537034326572708,0.015624797211756756
NGC3681,DBARB,10.179868851376781,9.284596909120602,10.078080172310989,9.091909903746284,,0.1272705900967759,0.7910634535291348,0.08166595637408937,
NGC3683A,DBAR,10.39385379563491,8.784316325402761,10.38304845884485,,,0.02457324608038175,0.9754267539196183,,
NGC3684,DBARB,10.083892407677963,8.647968426910237,10.04643062990008,8.74658565213496,,0.03665017217701156,0.9173566683230279,0.04599315949996054,
